lat,lon,cams_xco2
-88.5,-11.5,412.99457
-88.5,-10.5,412.99457
-88.5,-9.5,412.96973
-88.5,-8.5,412.9697
-88.5,-7.5,412.96973
-88.5,-6.5,412.9698
-88.5,-5.5,412.96982
-88.5,-4.5,412.96982
-88.5,-3.5,412.96985
-88.5,-2.5,412.9699
-88.5,-1.5,412.9699
-88.5,-0.5,412.96985
-88.5,0.5,412.96994
-88.5,1.5,412.96994
-88.5,2.5,412.96994
-88.5,3.5,412.96994
-88.5,4.5,412.96994
-88.5,5.5,412.97
-88.5,6.5,412.97
-88.5,7.5,412.97003
-88.5,8.5,412.97
-88.5,9.5,412.97
-88.5,10.5,412.96353
-88.5,11.5,412.96356
-88.5,12.5,412.96356
-88.5,13.5,412.96353
-88.5,14.5,412.96356
-88.5,15.5,412.96347
-88.5,16.5,412.96353
-88.5,17.5,412.96347
-88.5,18.5,412.96344
-88.5,19.5,412.96344
-88.5,20.5,412.9356
-88.5,21.5,412.93558
-88.5,22.5,412.93552
-88.5,23.5,412.9355
-88.5,24.5,412.9354
-88.5,25.5,412.9353
-88.5,26.5,412.93524
-88.5,27.5,412.93527
-88.5,28.5,412.93518
-88.5,29.5,412.93515
-88.5,30.5,412.93503
-88.5,31.5,412.93497
-88.5,32.5,412.93494
-88.5,33.5,412.93484
-88.5,34.5,412.93475
-88.5,35.5,412.93475
-88.5,36.5,412.93463
-88.5,37.5,412.93454
-88.5,38.5,412.9345
-88.5,39.5,412.93445
-88.5,40.5,412.9344
-88.5,41.5,412.9343
-88.5,42.5,412.9342
-88.5,43.5,412.9341
-88.5,44.5,412.93402
-88.5,45.5,412.93396
-88.5,46.5,412.9339
-88.5,47.5,412.9338
-88.5,48.5,412.93375
-88.5,49.5,412.93365
-88.5,50.5,412.93356
-88.5,51.5,412.93344
-88.5,52.5,412.906
-88.5,53.5,412.9058
-88.5,54.5,412.90564
-88.5,55.5,412.90552
-88.5,56.5,412.9054
-88.5,57.5,412.9052
-88.5,58.5,412.90506
-88.5,59.5,412.90494
-88.5,60.5,412.90475
-88.5,61.5,412.90463
-88.5,62.5,412.9084
-88.5,63.5,412.90817
-88.5,64.5,412.90808
-88.5,65.5,412.90793
-88.5,66.5,412.90778
-88.5,67.5,412.90762
-88.5,68.5,412.90744
-88.5,69.5,412.90732
-88.5,70.5,412.9072
-88.5,71.5,412.907
-88.5,72.5,412.9069
-88.5,73.5,412.90668
-88.5,74.5,412.90656
-88.5,75.5,412.90643
-88.5,76.5,412.90628
-88.5,77.5,412.90613
-88.5,78.5,412.90604
-88.5,79.5,412.90582
-88.5,80.5,412.90564
-88.5,81.5,412.90552
-88.5,82.5,412.88904
-88.5,83.5,412.88885
-88.5,84.5,412.88873
-88.5,85.5,412.88852
-88.5,86.5,412.8883
-88.5,87.5,412.88818
-88.5,88.5,412.888
-88.5,89.5,412.88788
-88.5,90.5,412.88766
-88.5,91.5,412.8875
-88.5,92.5,412.88815
-88.5,93.5,412.88794
-88.5,94.5,412.88776
-88.5,95.5,412.88757
-88.5,96.5,412.88742
-88.5,97.5,412.8873
-88.5,98.5,412.8871
-88.5,99.5,412.8869
-88.5,100.5,412.8867
-88.5,101.5,412.88657
-88.5,102.5,412.88638
-88.5,103.5,412.88623
-88.5,104.5,412.88605
