lat,lon,cams_xco2
-88.5,137.5,414.9682
-88.5,138.5,414.96808
-88.5,139.5,414.9679
-88.5,140.5,414.9678
-88.5,141.5,414.9677
-88.5,142.5,414.96765
-88.5,143.5,414.9675
-88.5,144.5,414.96744
-88.5,145.5,414.96735
-88.5,146.5,414.96725
-88.5,147.5,414.96713
-88.5,148.5,414.96707
-88.5,149.5,414.96704
-88.5,150.5,414.96695
-88.5,151.5,414.96692
-88.5,152.5,414.96683
-88.5,153.5,414.96677
-88.5,154.5,414.95505
-88.5,155.5,414.95502
-88.5,156.5,414.95502
-88.5,157.5,414.95502
-88.5,158.5,414.95496
-88.5,159.5,414.95502
-88.5,160.5,414.95502
-88.5,161.5,414.95502
-88.5,162.5,414.95502
-88.5,163.5,414.95502
-88.5,164.5,414.9624
-88.5,165.5,414.96246
-88.5,166.5,414.9625
-88.5,167.5,414.9625
-88.5,168.5,414.96255
-88.5,169.5,414.9626
-88.5,170.5,414.96262
-88.5,171.5,414.9627
-88.5,172.5,414.96277
-88.5,173.5,414.9628
-88.5,174.5,414.9629
-88.5,175.5,414.9629
-88.5,176.5,414.96304
-88.5,177.5,414.9631
-88.5,178.5,414.9632
-88.5,179.5,414.9632
-87.5,-179.5,414.95798
-87.5,-178.5,414.95804
-87.5,-177.5,414.9582
-87.5,-176.5,414.9583
-87.5,-175.5,414.95847
-87.5,-174.5,414.95862
-87.5,-173.5,414.95877
-87.5,-172.5,415.02368
-87.5,-171.5,415.02368
-87.5,-170.5,415.02362
-87.5,-169.5,415.02368
-87.5,-168.5,415.0237
-87.5,-167.5,415.0237
-87.5,-166.5,415.0238
-87.5,-165.5,415.0238
-87.5,-164.5,415.02393
-87.5,-163.5,415.024
-87.5,-162.5,415.0241
-87.5,-161.5,415.0242
-87.5,-160.5,415.02432
-87.5,-159.5,415.0244
-87.5,-158.5,415.02454
-87.5,-157.5,415.0247
-87.5,-156.5,415.02487
-87.5,-155.5,415.02505
-87.5,-154.5,415.02518
-87.5,-153.5,415.05173
-87.5,-152.5,415.052
-87.5,-151.5,415.0523
-87.5,-150.5,415.0527
-87.5,-149.5,415.053
-87.5,-148.5,415.05328
-87.5,-147.5,415.05368
-87.5,-146.5,415.054
-87.5,-145.5,415.05435
-87.5,-144.5,415.05475
-87.5,-143.5,415.05515
-87.5,-142.5,415.05557
-87.5,-141.5,415.05594
-87.5,-140.5,415.05637
-87.5,-139.5,415.0568
-87.5,-138.5,415.05728
-87.5,-137.5,415.0577
-87.5,-136.5,415.05817
-87.5,-135.5,415.05865
-87.5,-134.5,415.05908
-87.5,-133.5,415.05185
-87.5,-132.5,415.05222
-87.5,-131.5,415.05264
-87.5,-130.5,415.05304
-87.5,-129.5,415.05347
-87.5,-128.5,415.05386
-87.5,-127.5,415.05435
-87.5,-126.5,415.05475
-87.5,-125.5,415.05524
-87.5,-124.5,415.05566
-87.5,-123.5,415.0561
-87.5,-122.5,415.05652
-87.5,-121.5,415.05698
-87.5,-120.5,415.0575
-87.5,-119.5,415.05792
-87.5,-118.5,415.05838
-87.5,-117.5,415.05887
-87.5,-116.5,415.0594
-87.5,-115.5,415.05975
-87.5,-114.5,415.0649
-87.5,-113.5,415.06512
-87.5,-112.5,415.06534
-87.5,-111.5,415.06558
-87.5,-110.5,415.0658
-87.5,-109.5,415.06604
-87.5,-108.5,415.06625
-87.5,-107.5,415.06647
-87.5,-106.5,415.06674
-87.5,-105.5,415.06696
-87.5,-104.5,415.06717
-87.5,-103.5,415.0674
-87.5,-102.5,415.06763
-87.5,-101.5,415.06784
-87.5,-100.5,415.1327
-87.5,-99.5,415.13293
-87.5,-98.5,415.13315
-87.5,-97.5,415.13336
-87.5,-96.5,415.1335
-87.5,-95.5,415.1337
-87.5,-94.5,415.1339
-87.5,-93.5,415.13416
-87.5,-92.5,415.13434
-87.5,-91.5,415.1345
-87.5,-90.5,415.1347
-87.5,-89.5,415.1349
-87.5,-88.5,415.1351
-87.5,-87.5,415.13528
-87.5,-86.5,415.13553
-87.5,-85.5,415.13574
-87.5,-84.5,415.13586
-87.5,-83.5,415.13614
-87.5,-82.5,415.1363
-87.5,-81.5,415.13382
-87.5,-80.5,415.13406
-87.5,-79.5,415.13434
-87.5,-78.5,415.13464
-87.5,-77.5,415.1349
-87.5,-76.5,415.1351
-87.5,-75.5,415.13535
-87.5,-74.5,415.13562
-87.5,-73.5,415.13586
-87.5,-72.5,415.13614
-87.5,-71.5,415.13644
-87.5,-70.5,415.13666
-87.5,-69.5,415.13687
-87.5,-68.5,415.13712
-87.5,-67.5,415.13736
-87.5,-66.5,415.13757
-87.5,-65.5,415.1378
-87.5,-64.5,415.13806
-87.5,-63.5,415.13828
-87.5,-62.5,415.13852
-87.5,-61.5,415.14148
-87.5,-60.5,415.1417
-87.5,-59.5,415.1419
-87.5,-58.5,415.1421
-87.5,-57.5,415.1423
-87.5,-56.5,415.14252
-87.5,-55.5,415.14267
-87.5,-54.5,415.14285
-87.5,-53.5,415.14304
-87.5,-52.5,415.14325
-87.5,-51.5,415.1434
-87.5,-50.5,415.1436
-87.5,-49.5,415.1437
-87.5,-48.5,415.1439
-87.5,-47.5,415.14404
-87.5,-46.5,415.14417
-87.5,-45.5,415.14432
-87.5,-44.5,415.14453
-87.5,-43.5,415.14456
-87.5,-42.5,415.11905
-87.5,-41.5,415.11923
-87.5,-40.5,415.11935
-87.5,-39.5,415.11948
-87.5,-38.5,415.1196
-87.5,-37.5,415.11972
-87.5,-36.5,415.11987
-87.5,-35.5,415.11993
-87.5,-34.5,415.12012
-87.5,-33.5,415.1202
-87.5,-32.5,415.1203
-87.5,-31.5,415.12045
-87.5,-30.5,415.1205
-87.5,-29.5,415.1206
-87.5,-28.5,415.11978
-87.5,-27.5,415.1199
-87.5,-26.5,415.12
-87.5,-25.5,415.12012
-87.5,-24.5,415.12024
-87.5,-23.5,415.1204
-87.5,-22.5,415.1205
-87.5,-21.5,415.1206
-87.5,-20.5,415.12067
-87.5,-19.5,415.12076
-87.5,-18.5,415.12088
-87.5,-17.5,415.12094
-87.5,-16.5,415.12097
-87.5,-15.5,415.12106
-87.5,-14.5,415.12115
-87.5,-13.5,415.1212
-87.5,-12.5,415.1212
-87.5,-11.5,415.12128
-87.5,-10.5,415.1213
-87.5,-9.5,415.0911
-87.5,-8.5,415.09113
-87.5,-7.5,415.0912
-87.5,-6.5,415.09122
-87.5,-5.5,415.09128
-87.5,-4.5,415.09122
-87.5,-3.5,415.09128
-87.5,-2.5,415.0913
-87.5,-1.5,415.0913
-87.5,-0.5,415.09134
-87.5,0.5,415.0913
-87.5,1.5,415.0913
-87.5,2.5,415.0913
-87.5,3.5,415.0913
-87.5,4.5,415.09128
-87.5,5.5,415.09128
-87.5,6.5,415.09128
-87.5,7.5,415.0912
-87.5,8.5,415.09113
-87.5,9.5,415.0911
-87.5,10.5,415.05493
